,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
0,15134863,15,Ambs,99%,100%,Entire home/apt,39,60.0,"['email', 'phone']",1.5 baths,1000.0,Fanny Et Paul,579652405189065070,1.5,baths,579652405189065070
1,83677621,3,Martignas-sur-Jalle,100%,100%,Entire home/apt,37,280.0,['phone'],3 baths,912.0,Francoise,49797548,3.0,baths,49797548
3,6133211,377,Centre ville (Bordeaux),78%,100%,Entire home/apt,25,120.0,"['email', 'phone']",1 bath,1000.0,Crystel,1117474,1.0,bath,1117474
4,3774373,491,Saint Augustin - Tauzin - Alphonse Dupeux,100%,100%,Entire home/apt,35,139.0,"['email', 'phone']",1 bath,1000.0,Stéphane & Virginie,1136724,1.0,bath,1136724
5,6364913,53,Lormont,100%,100%,Private room,32,37.0,"['email', 'phone']",1 private bath,1000.0,Christine,1161946,1.0,private bath,1161946
7,1029070,638,Bordeaux Sud,98%,100%,Entire home/apt,31,63.0,"['email', 'phone']",1 bath,1000.0,Louis,1172803,1.0,bath,1172803
8,1156398,53,Bordeaux Sud,97%,100%,Entire home/apt,39,228.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Suzanna,222887,1.0,bath,222887
9,1156398,35,Chartrons - Grand Parc - Jardin Public,97%,100%,Entire home/apt,31,174.0,"['email', 'phone', 'work_email']",1.5 baths,1000.0,Suzanna,317273,1.5,baths,317273
10,4178213,299,Magonty,61%,100%,Private room,61,139.0,"['email', 'phone']",1 private bath,1000.0,David,2157691,1.0,private bath,2157691
11,1156398,90,Centre ville (Bordeaux),97%,100%,Entire home/apt,39,205.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Suzanna,317658,1.0,bath,317658
12,1697156,424,Centre ville (Bordeaux),72%,83%,Entire home/apt,25,97.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Antony,333031,1.0,bath,333031
13,6466588,115,Bordeaux Sud,96%,100%,Entire home/apt,38,196.0,"['email', 'phone', 'work_email']",1 bath,293.0,Christophe,1182098,1.0,bath,1182098
14,6486165,100,Chartrons - Grand Parc - Jardin Public,96%,100%,Entire home/apt,17,102.0,"['email', 'phone']",1 bath,865.0,Fabienne,1185900,1.0,bath,1185900
